"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 20 00:01:29 WIB 2023","Wed Sep 20 00:02:09 WIB 2023","39560","","","","","","Verify user login with invalid data",""
"passed","Wed Sep 20 00:00:57 WIB 2023","Wed Sep 20 00:01:29 WIB 2023","32603","","","","","","Verify user login with valid data",""
